[2021-10-29 11:23:57]	link failed !, exit code: 1
  at unify_builder.Program.Main (System.String[] args) [0x012d3] in <0145ce9df5474e8894a187804b43ab23>:0 

[2021-10-29 11:24:36]	[done]
	build successfully !

[2021-10-29 18:34:02]	[done]
	build successfully !

[2021-10-29 18:40:16]	[done]
	build successfully !

[2021-10-29 18:45:07]	[done]
	build successfully !

[2021-10-29 18:45:16]	[done]
	build successfully !

[2021-10-29 18:47:22]	[done]
	build successfully !

[2021-10-29 18:49:28]	[done]
	build successfully !

[2021-10-29 18:50:40]	[done]
	build successfully !

[2021-10-29 18:59:36]	[done]
	build successfully !

[2021-10-29 23:09:19]	compilation failed at : "c:\Users\86181\Documents\vscode\STM32\SerialCommunication\Core\Src\main.c", exit code: 1
  at unify_builder.Program.Main (System.String[] args) [0x01175] in <0145ce9df5474e8894a187804b43ab23>:0 

[2021-10-29 23:16:18]	[done]
	build successfully !

[2021-10-29 23:18:23]	[done]
	build successfully !

[2021-10-29 23:19:34]	[done]
	build successfully !

[2021-10-29 23:29:07]	[done]
	build successfully !

[2021-10-29 23:36:07]	[done]
	build successfully !

[2021-10-29 23:40:19]	[done]
	build successfully !

[2021-10-29 23:48:41]	[done]
	build successfully !

[2021-10-29 23:50:47]	[done]
	build successfully !

[2021-10-29 23:52:49]	[done]
	build successfully !

[2021-10-29 23:54:34]	[done]
	build successfully !

[2021-10-29 23:57:47]	[done]
	build successfully !

[2021-10-30 00:08:55]	[done]
	build successfully !

